name,mark,director,release_time,length,imdb_link,cover_link,summary
机器人总动员,9.3,安德鲁·斯坦顿,制片国家/地区:,2008-06-27(美国),http://www.pixar.com/feature-films/walle,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,"
                                　　公元2805年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托Buynlarge的公司对地球垃圾进行清理，该公司开发了名为WALL·E（Waste Allocation Loa d Lifters – Earth 地球废品分装员）的机器人担当此重任。
                                    "
盗梦空间,9.3,克里斯托弗·诺兰,语言:,2010-07-16(美国),http://www.imdb.com/title/tt1375666,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,"
                            "
天堂电影院,9.1,朱塞佩·托纳多雷,1988-11-17(意大利),又名:,http://www.imdb.com/title/tt0095765,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,"
                            "
当幸福来敲门,8.9,加布里埃莱·穆奇诺,上映日期:,片长:,http://www.imdb.com/title/tt0454921,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg,"
                                　　克里斯•加纳（威尔·史密斯 Will Smith 饰）用尽全部积蓄买下了高科技治疗仪，到处向医院推销，可是价格高昂，接受的人不多。就算他多努力都无法提供一个良好的生活环境给妻儿，妻子（桑迪·牛顿 Thandie Newton 饰）最终选择离开家。从此他带着儿子克里斯托夫（贾登·史密斯 Jaden Smith 饰）相依为命。克里斯好不容易争取回来一个股票投资公司实习的机会，就算没有报酬，成功机会只有百分之五，他仍努力奋斗，儿子是他的力量。他看尽白眼，与儿子躲在地铁站里的公共厕所里，住在教堂的收容所里…… 他坚信，幸福明天就会来临。
                        "
无间道,9.0,刘伟强,上映日期:,片长:,http://www.imdb.com/title/tt0338564,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,"
                                　　1991年，香港黑帮三合会会员刘健明（刘德华）听从老大韩琛（曾志伟）的吩咐，加入警察部队成为黑帮卧底，韩琛许诺刘健明会帮其在七年后晋升为见习督察。1992年，警察训练学校优秀学员陈永仁（梁朝伟）被上级要求深入到三合会做卧底，终极目标是成为韩琛身边的红人。2002年，两人都不负重望，也都身背重压，刘健明渐想成为一个真正的好人，陈永仁则盼着尽快回归警察身份。
                                    "
辛德勒的名单,9.4,史蒂文·斯皮尔伯格,上映日期:,片长:,http://www.imdb.com/title/tt0108052,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,"
                                　　1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。
                                    "
泰坦尼克号,9.2,詹姆斯·卡梅隆,上映日期:,1997-12-19(美国),http://www.imdb.com/title/tt0120338,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,"
                                　　1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特•温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。
                                    "
千与千寻,9.2,宫崎骏,上映日期:,125分钟,http://www.imdb.com/title/tt0245429,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,"
                                　　千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。
                                    "
美丽人生,9.5,罗伯托·贝尼尼,语言:,片长:,http://www.imdb.com/title/tt0118799,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,"
                                　　犹太青年圭多（罗伯托·贝尼尼）邂逅美丽的女教师多拉（尼可莱塔·布拉斯基），他彬彬有礼的向多拉鞠躬：“早安！公主！”。历经诸多令人啼笑皆非的周折后，天遂人愿，两人幸福美满的生活在一起。
                                    "
阿甘正传,9.4,罗伯特·泽米吉斯,1994-06-23(洛杉矶首映),142 分钟,http://www.imdb.com/title/tt0109830,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,"
                                　　阿甘（汤姆·汉克斯 饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。
                                    "
